,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,profitBuy,profitSell
2018-01-10,66.44000244140625,67.4000015258789,66.0,66.95999908447266,66.95999908447266,21549500,TSLA,67.70445,67.58999633789062,0.7444534301757812,0.0
2018-01-19,69.0,70.11799621582031,68.5199966430664,70.00399780273438,70.00399780273438,24441500,TSLA,69.503784,70.31199645996094,-0.500213623046875,0.0
2018-01-24,70.91600036621094,70.94999694824219,68.7040023803711,69.1780014038086,69.1780014038086,26437500,TSLA,70.137535,67.52799987792969,0.0,-0.95953369140625
2018-01-26,68.30000305175781,68.80000305175781,67.14199829101562,68.56999969482422,68.56999969482422,22697000,TSLA,67.27579,69.90599822998047,-1.2942123413085938,0.0
2018-02-26,70.69999694824219,71.80000305175781,70.47200012207031,71.48400115966797,71.48400115966797,21700000,TSLA,71.287964,70.197998046875,0.0,0.19603729248046875
2018-03-16,64.58599853515625,65.4800033569336,63.81399917602539,64.2699966430664,64.2699966430664,30586500,TSLA,64.15275,62.71200180053711,0.0,0.11724853515625
2018-03-26,61.46799850463867,61.518001556396484,58.27199935913086,60.83599853515625,60.83599853515625,41876000,TSLA,59.683163,55.83599853515626,0.0,1.1528358459472656
2018-03-29,51.29800033569336,54.19200134277344,49.641998291015625,53.22600173950195,53.22600173950195,75853500,TSLA,49.241554,50.49599838256836,0.0,3.984447479248047
2018-04-02,51.25199890136719,52.066001892089844,48.917999267578125,50.49599838256836,50.49599838256836,80570000,TSLA,48.53396,53.50600051879883,-1.9620399475097656,0.0
2018-04-09,60.07400131225586,61.900001525878906,57.84199905395508,57.93199920654297,57.93199920654297,51249000,TSLA,61.549503,60.939998626708984,3.617504119873047,0.0
2018-04-10,59.79399871826172,61.41999816894531,58.736000061035156,60.939998626708984,60.939998626708984,54949000,TSLA,60.85496,60.18600082397461,0.0,0.0850372314453125
2018-04-25,56.70000076293945,57.03200149536133,55.45000076293945,56.13800048828125,56.13800048828125,20068000,TSLA,55.28681,57.096000671386726,-0.8511886596679688,0.0
2018-05-03,55.757999420166016,57.608001708984375,55.04600143432617,56.88999938964844,56.88999938964844,86760500,TSLA,57.400307,58.818000793457024,0.5103073120117188,0.0
2018-05-11,61.540000915527344,61.7760009765625,59.816001892089844,60.21200180053711,60.21200180053711,23398000,TSLA,61.09644,58.39400100708008,0.0,-0.8844375610351562
2018-05-15,57.00199890136719,57.391998291015625,56.099998474121094,56.83599853515625,56.83599853515625,47596000,TSLA,56.351208,57.29600143432618,-0.4847908020019531,0.0
2018-05-30,56.65800094604492,59.00199890136719,56.31999969482422,58.34400177001953,58.34400177001953,37448500,TSLA,57.117798,56.945999145507805,0.0,1.2262039184570312
2018-06-20,71.60800170898438,72.8759994506836,70.4000015258789,72.44400024414062,72.44400024414062,41918500,TSLA,71.22916,69.50199890136719,0.0,1.21484375
2018-06-27,69.0,70.15799713134766,67.9000015258789,68.9000015258789,68.9000015258789,41668500,TSLA,66.822105,69.98600006103516,-2.0778961181640625,0.0
2018-06-28,69.73200225830078,71.40399932861328,69.22200012207031,69.98600006103516,69.98600006103516,41990000,TSLA,69.04911,68.58999633789062,0.0,0.9368896484375
2018-06-29,70.66600036621094,70.77200317382812,68.48200225830078,68.58999633789062,68.58999633789062,32462000,TSLA,69.594284,67.01399993896484,0.0,-1.0042877197265625
2018-07-17,61.762001037597656,64.947998046875,61.70000076293945,64.53800201416016,64.53800201416016,34981000,TSLA,61.85461,64.7699966430664,-2.683391571044922,0.0
2018-07-27,61.45000076293945,61.53799819946289,59.06800079345703,59.43600082397461,59.43600082397461,28516500,TSLA,60.42242,58.034000396728516,0.0,-0.986419677734375
2018-08-09,73.11000061035156,73.4020004272461,69.14600372314453,70.48999786376953,70.48999786376953,85919000,TSLA,73.11121,71.0979995727539,2.6212158203125,0.0
2018-08-13,72.22599792480469,72.63800048828125,69.80400085449219,71.28199768066406,71.28199768066406,52319500,TSLA,70.59637,69.52799987792969,0.0,0.6856307983398438
2018-08-15,68.38200378417969,68.89800262451172,66.4280014038086,67.73799896240234,67.73799896240234,45506500,TSLA,67.24153,67.08999633789062,0.0,0.49646759033203125
2018-08-24,64.13999938964844,64.7699966430664,63.880001068115234,64.56400299072266,64.56400299072266,18013000,TSLA,64.57138,63.854000091552734,0.0,-0.00737762451171875
